time,XAUUSD,EURUSD,NAS100,US30,SPX500,USDJPY
2016-11-30,1170.800048828125,1.0648492574691772,4810.81005859375,19123.580078125,2198.81005859375,112.47000122070312
2016-12-01,1166.9000244140625,1.0592098236083984,4734.10009765625,19191.9296875,2191.080078125,114.69400024414062
2016-12-02,1175.0999755859375,1.0663141012191772,4739.3701171875,19170.419921875,2191.949951171875,113.90899658203125
2016-12-05,1174.0,1.0582010746002197,4778.14013671875,19216.240234375,2204.7099609375,113.50499725341797
2016-12-06,1167.5999755859375,1.0757315158843994,4788.669921875,19251.779296875,2212.22998046875,113.86299896240234
2016-12-07,1175.0,1.0720411539077759,4851.93994140625,19549.619140625,2241.35009765625,114.052001953125
2016-12-08,1169.800048828125,1.0761945247650146,4859.18994140625,19614.810546875,2246.18994140625,113.71299743652344
2016-12-09,1159.4000244140625,1.062134861946106,4895.89990234375,19756.849609375,2259.530029296875,114.07499694824219
2016-12-12,1163.5,1.0547411441802979,4874.2998046875,19796.4296875,2256.9599609375,115.41200256347656
2016-12-13,1156.699951171875,1.0641694068908691,4935.83984375,19911.2109375,2271.719970703125,115.00199890136719
2016-12-14,1161.300048828125,1.062925100326538,4921.22021484375,19792.529296875,2253.280029296875,115.2239990234375
2016-12-15,1127.800048828125,1.051414132118225,4933.41015625,19852.240234375,2262.030029296875,117.21099853515625
2016-12-16,1135.300048828125,1.0418837070465088,4914.85986328125,19843.41015625,2258.070068359375,118.24099731445312
2016-12-19,1140.5,1.0449975728988647,4934.85009765625,19883.060546875,2262.530029296875,117.79100036621094
2016-12-20,1131.5,1.0405826568603516,4953.7998046875,19974.619140625,2270.760009765625,117.03700256347656
2016-12-21,1131.0999755859375,1.039047360420227,4948.91015625,19941.9609375,2265.179931640625,117.875
2016-12-22,1128.800048828125,1.0428615808486938,4934.39013671875,19918.880859375,2260.9599609375,117.60399627685547
2016-12-23,1131.9000244140625,1.0437650680541992,4940.02001953125,19933.810546875,2263.7900390625,117.54199981689453
2016-12-26,1131.9000244140625,1.045478343963623,4940.02001953125,19933.810546875,2263.7900390625,117.30999755859375
2016-12-27,1137.300048828125,1.0456969738006592,4965.81005859375,19945.0390625,2268.8798828125,117.19200134277344
2016-12-28,1139.4000244140625,1.046233057975769,4926.2900390625,19833.6796875,2249.919921875,117.4800033569336
2016-12-29,1156.4000244140625,1.0416991710662842,4918.27978515625,19819.779296875,2249.260009765625,117.08699798583984
2016-12-30,1150.0,1.0575296878814697,4863.6201171875,19762.599609375,2238.830078125,116.26699829101562
2017-01-02,1150.0,1.052698016166687,4863.6201171875,19762.599609375,2238.830078125,116.79499816894531
2017-01-03,1160.4000244140625,1.0460032224655151,4911.330078125,19881.759765625,2257.830078125,117.49500274658203
2017-01-04,1163.800048828125,1.0419923067092896,4937.2099609375,19942.16015625,2270.75,117.65899658203125
2017-01-05,1179.699951171875,1.0500892400741577,4964.9501953125,19899.2890625,2269.0,117.11299896240234
2017-01-06,1171.9000244140625,1.0605915784835815,5007.080078125,19963.80078125,2276.97998046875,115.26499938964844
2017-01-09,1183.5,1.0531858205795288,5024.89990234375,19887.380859375,2268.89990234375,117.1500015258789
2017-01-10,1184.199951171875,1.0588620901107788,5035.169921875,19855.529296875,2268.89990234375,115.98500061035156
2017-01-11,1195.5999755859375,1.0552419424057007,5050.2099609375,19954.279296875,2275.320068359375,115.87200164794922
2017-01-12,1198.9000244140625,1.0597710609436035,5041.43017578125,19891.0,2270.43994140625,115.0979995727539
